course_code ,course_title    ,department,dept_id,sem_id,,,,,,
DAST 101,Basics of Cinematography,Animation Science,1,1,,,,,,
DAIT 101,Introduction to data Gathering,Artificial Intelligence,2,1,,,,,,
DBVT 101,Fundamentals Cloud Computing I,B. Voc. Software Development,3,1,,,,,,
DBIT 101,Introduction to Machine Learning,Bioinformatics,4,1,,,,,,
DBIT 101,Plant Tissue culture-I,Biotechnology,5,1,,,,,,
DBT 101,Principles of Horticulture and Plant Propagation I,Botany,6,1,,,,,,
DCT 101,Introduction of Household Chemicals,Chemistry,7,1,,,,,,
DCAT 101,Basic Corel Draw,Computer Application,8,1,,,,,,
DCSET 101,Introduction to Python,Computer Science (Entire),9,1,,,,,,
DCST 101,Basics of Internet and HTML,Computer Science (Optional),10,1,,,,,,
DDST 101,Database Administrator (MS-Access),Data Science,11,1,,,,,,
DDCT 101,Introduction to Medicinal Chemistry,Drug Chemistry,12,1,,,,,,
DECT 101,Financial Statement Analysis,Economics,13,1,,,,,,
DET 101,Introduction to EDA Tools I,Electronics,14,1,,,,,,
DEST 101,Introduction to Soft Skills,English,15,1,,,,,,
DFT 101,Nutrition Science,Fisheries,16,1,,,,,,
DFPT 101,Food Chemical Analysis,Food Technology,17,1,,,,,,
DFSCT 101,Investigative tools and techniques in Forensic Ballastics I,Forensic Science,18,1,,,,,,
DMT 101,Computation of mathematical problems by using C-programming I,Mathematics,19,1,,,,,,
DMIT 101,Microbial Diversity and Basic Microbial techniques Part- I,Microbiology,20,1,,,,,,
DNTT 101,Nanomaterial Synthesis Techniques I,Nanoscience and Technology,21,1,,,,,,
DPT 101,Instrumentation I,Physics,22,1,,,,,,
DPPT 101,,Plant Protection,23,1,,,,,,
DST 101,MS - Excel – I,Statistics,24,1,,,,,,
DMUT 101,,Music Science,25,1,,,,,,
DIST 101,Nutrition Science,Instrumentation,26,1,,,,,,
DZT 101,Nutrition Science,Zoology,27,1,,,,,,
DAST 202,Image Processing,Animation Science,1,2,,,,,,
DAIT 202,Data Preprocessing Techniques,Artificial Intelligence,2,2,,,,,,
DBVT 202,Fundamentals Cloud Computing II,B. Voc. Software Development,3,2,,,,,,
DAIT 202,Data Preprocessing Techniques,Bioinformatics,4,2,,,,,,
DBIT 202,Plant Tissue culture-II,Biotechnology,5,2,,,,,,
DBT 202,Principles of Horticulture and Plant Propagation II,Botany,6,2,,,,,,
DCT 202,"Introduction of Detergents, Surfactants, Packaging of Products and Extraction",Chemistry,7,2,,,,,,
DCAT 202,Graphic Designing,Computer Application,8,2,,,,,,
DCSET 202,Python Programming,Computer Science (Entire),9,2,,,,,,
DCST 202,Introduction to CSS and Web Hosting,Computer Science (Optional),10,2,,,,,,
DDST 202,Microsoft Access,Data Science,11,2,,,,,,
DDCT 202,Pharmaceutical Drug Chemistry,Drug Chemistry,12,2,,,,,,
DMT 202,Computation of mathematical problems by using C-programming II,Economics,13,2,,,,,,
DET 202,Introduction to EDA Tools II,Electronics,14,2,,,,,,
DEST 202,Essential Skill Development,English,15,2,,,,,,
,,Fisheries,16,2,,,,,,
DFPT 202,Chemical Safety of Foods,Food Technology,17,2,,,,,,
DFSCT 202,Investigative tools & techniques in Forensic Ballistics II,Forensic Science,18,2,,,,,,
DMT 202,Computation of mathematical problems by using C-programming II,Mathematics,19,2,,,,,,
DMIT 202,Basic Microbial techniques Part-II,Microbiology,20,2,,,,,,
DNTT 202,Nanomaterial Synthesis Techniques II,Nanoscience and Technology,21,2,,,,,,
DPT 202,Instrumentation II,Physics,22,2,,,,,,
DBT 202,Principles of Horticulture and Plant Propagation II,Plant Protection,23,2,,,,,,
DST 202,MS - Excel – II,Statistics,24,2,,,,,,
,,Music Science,25,2,,,,,,
,,Instrumentation,26,2,,,,,,
DZT 202,Food groups and meal patterns,Zoology,27,2,,,,,,
DAST 101,Basics of Cinematography,Animation Science,1,3,,,,,,
DAIT 101,Introduction to data Gathering,Artificial Intelligence,2,3,,,,,,
DBVT 101,Fundamentals Cloud Computing I,B. Voc. Software Development,3,3,,,,,,
DAIT 101,Introduction to data Gathering,Bioinformatics,4,3,,,,,,
DBIT 101,Plant Tissue culture-I,Biotechnology,5,3,,,,,,
DBT 101,Principles of Horticulture and Plant Propagation I,Botany,6,3,,,,,,
DCT 101,Introduction of Household Chemicals,Chemistry,7,3,,,,,,
DCAT 101,Basic Corel Draw,Computer Application,8,3,,,,,,
DCSET 101,Introduction to Python,Computer Science (Entire),9,3,,,,,,
DCST 101,Basics of Internet and HTML,Computer Science (Optional),10,3,,,,,,
DDST 101,Database Administrator (MS-Access),Data Science,11,3,,,,,,
DDCT 101,Introduction to Medicinal Chemistry,Drug Chemistry,12,3,,,,,,
DMT 101,Computation of mathematical problems by using C-programming I,Economics,13,3,,,,,,
DET 101,Introduction to EDA Tools I,Electronics,14,3,,,,,,
DEST 101,Introduction to Soft Skills,English,15,3,,,,,,
DZT 101,Nutrition Science,Fisheries,16,3,,,,,,
DFPT 101,Food Chemical Analysis,Food Technology,17,3,,,,,,
DFSCT 101,Investigative tools and techniques in Forensic Ballastics I,Forensic Science,18,3,,,,,,
DMT 101,Computation of mathematical problems by using C-programming I,Mathematics,19,3,,,,,,
DMIT 101,Microbial Diversity and Basic Microbial techniques Part- I,Microbiology,20,3,,,,,,
DNTT 101,Nanomaterial Synthesis Techniques I,Nanoscience and Technology,21,3,,,,,,
DPT 101,Instrumentation I,Physics,22,3,,,,,,
DBT 101,Principles of Horticulture and Plant Propagation I,Plant Protection,23,3,,,,,,
DST 101,MS - Excel – I,Statistics,24,3,,,,,,
DZT 101,Nutrition Science,Zoology,27,3,,,,,,
DAST 202,Image Processing,Animation Science,1,4,,,,,,
DAIT 202,Data Preprocessing Techniques,Artificial Intelligence,2,4,,,,,,
DBVT 202,Fundamentals Cloud Computing II,B. Voc. Software Development,3,4,,,,,,
DAIT 202,Data Preprocessing Techniques,Bioinformatics,4,4,,,,,,
DBIT 202,Plant Tissue culture-II,Biotechnology,5,4,,,,,,
DBT 202,Principles of Horticulture and Plant Propagation II,Botany,6,4,,,,,,
DCT 202,"Introduction of Detergents, Surfactants, Packaging of Products and Extraction",Chemistry,7,4,,,,,,
DCAT 202,Graphic Designing,Computer Application,8,4,,,,,,
DCSET 202,Python Programming,Computer Science (Entire),9,4,,,,,,
DCST 202,Introduction to CSS and Web Hosting,Computer Science (Optional),10,4,,,,,,
DDST 202,Microsoft Access,Data Science,11,4,,,,,,
DDCT 202,Pharmaceutical Drug Chemistry,Drug Chemistry,12,4,,,,,,
DMT 202,Computation of mathematical problems by using C-programming II,Economics,13,4,,,,,,
DET 202,Introduction to EDA Tools II,Electronics,14,4,,,,,,
DEST 202,Essential Skill Development,English,15,4,,,,,,
DZT 202,Food groups and meal patterns,Fisheries,16,4,,,,,,
DFPT 202,Chemical Safety of Foods,Food Technology,17,4,,,,,,
DFSCT 202,Investigative tools & techniques in Forensic Ballistics II,Forensic Science,18,4,,,,,,
DMT 202,Computation of mathematical problems by using C-programming II,Mathematics,19,4,,,,,,
DMIT 202,Basic Microbial techniques Part-II,Microbiology,20,4,,,,,,
DNTT 202,Nanomaterial Synthesis Techniques II,Nanoscience and Technology,21,4,,,,,,
DPT 202,Instrumentation II,Physics,22,4,,,,,,
DBT 202,Principles of Horticulture and Plant Propagation II,Plant Protection,23,4,,,,,,
DST 202,MS - Excel – II,Statistics,24,4,,,,,,
DZT 202,Food groups and meal patterns,Zoology,25,4,,,,,,
DAST 101,Basics of Cinematography,Animation Science,1,5,,,,,,
DBVT 101,Fundamentals Cloud Computing I,B. Voc. Software Development,2,5,,,,,,
DBIT 101,Plant Tissue culture-I,Biotechnology,3,5,,,,,,
DBT 101,Principles of Horticulture and Plant Propagation I,Botany,4,5,,,,,,
DCT 101,Introduction of Household Chemicals,Chemistry,5,5,,,,,,
DCSET 101,Introduction to Python,Computer Science (Entire),6,5,,,,,,
DCST 101,Basics of Internet and HTML,Computer Science (Optional),7,5,,,,,,
DDCT 101,Introduction to Medicinal Chemistry,Drug Chemistry,8,5,,,,,,
DET 101,Introduction to EDA Tools I,Electronics,9,5,,,,,,
DEPT 101,Basics of Personality,English,10,5,,,,,,
DEST 101,Introduction to Soft Skills,English,11,5,,,,,,
DFPT 101,Food Chemical Analysis,Food Processing and Packaging,12,5,,,,,,
DFSCT 101,Investigative tools and techniques in Forensic Ballastics I,Forensic Science,13,5,,,,,,
DMST 101,Metallurgy,Material Science,14,5,,,,,,
DMT 101,Computation of mathematical problems by using C-programming I,Mathematics,15,5,,,,,,
DMIT 101,Microbial Diversity and Basic Microbial techniques Part- I,Microbiology,16,5,,,,,,
DNTT 101,Nanomaterial Synthesis Techniques I,Nanoscience and Technology,17,5,,,,,,
DPT 101,Instrumentation I,Physics,18,5,,,,,,
DST 101,MS - Excel – I,Statistics,19,5,,,,,,
DZT 101,Nutrition Science,Zoology,20,5,,,,,,
DAST 202,Image Processing,Animation Science,1,6,,,,,,
DBVT 202,Fundamentals Cloud Computing II,B. Voc. Software Development,2,6,,,,,,
DBIT 202,Plant Tissue culture-II,Biotechnology,3,6,,,,,,
DBT 202,Principles of Horticulture and Plant Propagation II,Botany,4,6,,,,,,
DCT 202,"Introduction of Detergents, Surfactants, Packaging of Products and Extraction",Chemistry,5,6,,,,,,
DCSET 202,Python Programming,Computer Science (Entire),6,6,,,,,,
DCST 202,Introduction to CSS and Web Hosting,Computer Science (Optional),7,6,,,,,,
DDCT 202,Pharmaceutical Drug Chemistry,Drug Chemistry,8,6,,,,,,
DET 202,Introduction to EDA Tools II,Electronics,9,6,,,,,,
DEPT 202,Personality and Career Development,English,10,6,,,,,,
DEST 202,Essential Skill Development,English,11,6,,,,,,
DFPT 202,Chemical Safety of Foods,Food Processing and Packaging,12,6,,,,,,
DFSCT 202,Investigative tools & techniques in Forensic Ballistics II,Forensic Science,13,6,,,,,,
DMST 202,Metallurgy II,Material Science,14,6,,,,,,
DMT 202,Computation of mathematical problems by using C-programming II,Mathematics,15,6,,,,,,
DMIT 202,Basic Microbial techniques Part-II,Microbiology,16,6,,,,,,
DNTT 202,Nanomaterial Synthesis Techniques II,Nanoscience and Technology,17,6,,,,,,
